Severity,Record Type,Source Document,Page,Organization,Date,OCR Original,LLM Resolution,Suggested Problem
Medium — inference,performer,UDC20260028-21.pdf,4,Melbourne Liedertafel,1899,"Mr. Lawson, junr.","name: Mr. Lawson, junr. | part_or_instrument: trombone",Instrument inferred from 'Trombones—' header
Medium — inference,performer,UDC20260028-21.pdf,4,Melbourne Liedertafel,1899,"„ Hore, junr.","name: „ Hore, junr. | part_or_instrument: trombone",Instrument inferred from 'Trombones—' header; Leading ditto mark likely stands for 'Mr.'
Medium — inference,performer,UDC20260028-21.pdf,4,Melbourne Liedertafel,1899,„ Fries,name: „ Fries | part_or_instrument: trombone,Instrument inferred from 'Trombones—' header; Leading ditto mark likely stands for 'Mr.'
Medium — inference,performer,UDC20260028-21.pdf,4,Melbourne Liedertafel,1899,Mr. Lüttich,name: Mr. Lüttich | part_or_instrument: tuba,Instrument inferred from 'Tuba—' header
Medium — inference,performer,UDC20260028-21.pdf,4,Melbourne Liedertafel,1899,Mr. Munyard,name: Mr. Munyard | part_or_instrument: timpani,Instrument inferred from 'Tympani—' header
Medium — inference,performer,UDC20260028-21.pdf,4,Melbourne Liedertafel,1899,Mr. Clay,name: Mr. Clay | part_or_instrument: cymbals and triangle,Instrument inferred from 'Cymbals & Triangles—' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Dyer, J.","name: Dyer, J. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Hardy, J. W.","name: Hardy, J. W. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Robie, D. L.","name: Robie, D. L. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Robinson, H. J.","name: Robinson, H. J. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Sherlock, H. D.","name: Sherlock, H. D. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Templeton, H. O.","name: Templeton, H. O. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Pardy, A.","name: Pardy, A. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Jones, A. L.","name: Jones, A. L. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Voight, Louis","name: Voight, Louis | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Newman, F. A.","name: Newman, F. A. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Thackeray, J.","name: Thackeray, J. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"McCullagh, J.","name: McCullagh, J. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Fullager, A. G.","name: Fullager, A. G. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Ginn, A. T.","name: Ginn, A. T. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Richardson, G.","name: Richardson, G. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Jackson, G.","name: Jackson, G. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Brook, T. W. (on leave)","name: Brook, T. W. (on leave) | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header; Marked 'on leave'
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Marsden, G. H.","name: Marsden, G. H. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Donaldson, J. P.","name: Donaldson, J. P. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Harvey, H. J.","name: Harvey, H. J. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Ferguson, J.","name: Ferguson, J. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Dodds, C.","name: Dodds, C. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Wade, Jas.","name: Wade, Jas. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Mitchell, T. S.","name: Mitchell, T. S. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Allan, J. C.","name: Allan, J. C. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"McCubbin, T. R.","name: McCubbin, T. R. | part_or_instrument: first tenor",Part inferred from 'FIRST TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Rayment, E.","name: Rayment, E. | part_or_instrument: second tenor",Part inferred from 'SECOND TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Rundell, W. R.","name: Rundell, W. R. | part_or_instrument: second tenor",Part inferred from 'SECOND TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Gray, Thos.","name: Gray, Thos. | part_or_instrument: second tenor",Part inferred from 'SECOND TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Tisdall, H. W. L.","name: Tisdall, H. W. L. | part_or_instrument: second tenor",Part inferred from 'SECOND TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Pleasants, E. A.","name: Pleasants, E. A. | part_or_instrument: second tenor",Part inferred from 'SECOND TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Nicholson, G. C.","name: Nicholson, G. C. | part_or_instrument: second tenor",Part inferred from 'SECOND TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"James, W. H. (on leave)","name: James, W. H. (on leave) | part_or_instrument: second tenor",Part inferred from 'SECOND TENOR.' header; Marked 'on leave'
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Murray, B. L. (on leave)","name: Murray, B. L. (on leave) | part_or_instrument: second tenor",Part inferred from 'SECOND TENOR.' header; Marked 'on leave'
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Ramsay, T. G.","name: Ramsay, T. G. | part_or_instrument: second tenor",Part inferred from 'SECOND TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Sprod, W. G. R.","name: Sprod, W. G. R. | part_or_instrument: second tenor",Part inferred from 'SECOND TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Lang, J.","name: Lang, J. | part_or_instrument: second tenor",Part inferred from 'SECOND TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Humphrey, G.","name: Humphrey, G. | part_or_instrument: second tenor",Part inferred from 'SECOND TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"McMillan, A. L.","name: McMillan, A. L. | part_or_instrument: second tenor",Part inferred from 'SECOND TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Flood, W. H.","name: Flood, W. H. | part_or_instrument: second tenor",Part inferred from 'SECOND TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Locke, W. F.","name: Locke, W. F. | part_or_instrument: second tenor",Part inferred from 'SECOND TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Robertson, P.","name: Robertson, P. | part_or_instrument: second tenor",Part inferred from 'SECOND TENOR.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Day, G. A. (on leave)","name: Day, G. A. (on leave) | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header; Marked 'on leave'
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Sutton, A.","name: Sutton, A. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Garrett, H.","name: Garrett, H. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Gerson, J.","name: Gerson, J. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Templeton, Capt. T. H.","name: Templeton, Capt. T. H. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Sinclair, Dr. T. W.","name: Sinclair, Dr. T. W. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Macartney, F. H.","name: Macartney, F. H. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Whitehead, F. S.","name: Whitehead, F. S. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Bird, Jno.","name: Bird, Jno. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Nicolson, R. G.","name: Nicolson, R. G. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Farr, Leigh","name: Farr, Leigh | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Bishop, A. A.","name: Bishop, A. A. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Brown, E. H.","name: Brown, E. H. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Hedding, Jas.","name: Hedding, Jas. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Sayer, J. F.","name: Sayer, J. F. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Pincus, S.","name: Pincus, S. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Hickey, J.","name: Hickey, J. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Hall, F. F.","name: Hall, F. F. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Wilson, E. L.","name: Wilson, E. L. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Quinton, E. W.","name: Quinton, E. W. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Stevens, G. H.","name: Stevens, G. H. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Phelan, C. H.","name: Phelan, C. H. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Whiter, H.","name: Whiter, H. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Hanify, F.","name: Hanify, F. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Wild, C.","name: Wild, C. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Willmott, H. C.","name: Willmott, H. C. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Whitehead, A. E.","name: Whitehead, A. E. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Lang, E. J.","name: Lang, E. J. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Thomas, F. H.","name: Thomas, F. H. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Murray, N. L.","name: Murray, N. L. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Shannon, W. M.","name: Shannon, W. M. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Hasell, A. H (on leave)","name: Hasell, A. H (on leave) | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header; Marked 'on leave'
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Statters, J.","name: Statters, J. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Morgan, H.","name: Morgan, H. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Wilmut, H. G.","name: Wilmut, H. G. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Brown, Geo A.","name: Brown, Geo A. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Samuels, J. W.","name: Samuels, J. W. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Lightfoot, T. H.","name: Lightfoot, T. H. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Pepper, F.","name: Pepper, F. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Jones, Walter C.","name: Jones, Walter C. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Adcock, John","name: Adcock, John | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Mattingly, A.","name: Mattingly, A. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Murray, Dr. Hugh L","name: Murray, Dr. Hugh L | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"White, Thos. E.","name: White, Thos. E. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Turner, J. P. (on leave)","name: Turner, J. P. (on leave) | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header; Marked 'on leave'
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Wilkes, K.","name: Wilkes, K. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Hodgetts, W. D.","name: Hodgetts, W. D. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Williamson, W. T. R.","name: Williamson, W. T. R. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Heathershaw, J. T.","name: Heathershaw, J. T. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Bona, E.","name: Bona, E. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Heath, C. S. R.","name: Heath, C. S. R. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Denneston, H. B.","name: Denneston, H. B. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Watson, J. (on leave)","name: Watson, J. (on leave) | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header; Marked 'on leave'
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"McWhirter, T.","name: McWhirter, T. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Hynes, H. C.","name: Hynes, H. C. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Warkin, E. J.","name: Warkin, E. J. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Watsford, S.","name: Watsford, S. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Lewis, W. E.","name: Lewis, W. E. | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header
Medium — inference,performer,UDC20260028-21.pdf,9,Melbourne Liedertafel,1899,MR. W. G. BARKER.,name: MR. W. G. BARKER. | part_or_instrument: bass | associated_work: Qui Sdegno non S'accende,Vocal part (bass) inferred from p.6 listing
Medium — inference,performer,UDC20260028-21.pdf,10,Melbourne Liedertafel,1899,ALTO SOLO—MISS SPENCE.,"name: MISS SPENCE. | part_or_instrument: alto | associated_work: From Goethe's ""Helena""",Assumed same person as 'MISS MARY H. SPENCE' on p.6
Medium — inference,performer,UDC20260028-21.pdf,14,Melbourne Liedertafel,1899,MR. AUGUST SIEDE.,name: MR. AUGUST SIEDE. | part_or_instrument: organ | associated_work: Passacaglia,Instrument (organ) inferred from 'ORGAN SOLO— Passacaglia' context and p.6 listing
Medium — inference,performer,UDC20260028-21.pdf,14,Melbourne Liedertafel,1899,MR. W. G. BARKER.,name: MR. W. G. BARKER. | part_or_instrument: bass | associated_work: Honor and Arms,Vocal part (bass) inferred from p.6 listing
Medium — inference,patron,UDC20260028-21.pdf,18,Melbourne Liedertafel,1899,His Excellency the Governor and Lady Brassey have kindly granted their patronage,name: His Excellency the Governor | role: Patron,Assumed 'His Excellency the Governor' refers to Lord Brassey
Medium — inference,performer,UDC20260028-22.pdf,8,Musashino Academia Musicae,1976-77,Hugh J. Mclean Organ Recital,name: Hugh J. Mclean | part_or_instrument: Organ,Instrument inferred from 'Organ Recital' header
Medium — inference,performer,UDC20260028-22.pdf,8,Musashino Academia Musicae,1976-77,John O'Conor Piano Recital,name: John O'Conor | part_or_instrument: Piano,Instrument inferred from 'Piano Recital' header
Medium — inference,performer,UDC20260028-22.pdf,14,Musashino Academia Musicae,1976-77,Yozo Kakeya,name: Yozo Kakeya | part_or_instrument: Violin,Instrument inferred as second violin from ensemble listing context
Medium — inference,performer,UDC20260028-22.pdf,16,Musashino Academia Musicae,1976-77,Max Martin Stein Piano Recital,name: Max Martin Stein | part_or_instrument: Piano,Instrument inferred from 'Piano Recital' header
Medium — inference,performer,UDC20260028-22.pdf,16,Musashino Academia Musicae,1976-77,Detlef Kraus Piano Recital,name: Detlef Kraus | part_or_instrument: Piano,Instrument inferred from 'Piano Recital' header
Medium — inference,performer,UDC20260028-22.pdf,17,Musashino Academia Musicae,1976-77,Wilhelm Kempff Piano Recital,name: Wilhelm Kempff | part_or_instrument: Piano,Instrument inferred from 'Piano Recital' header
Medium — inference,performer,UDC20260028-22.pdf,17,Musashino Academia Musicae,1976-77,Zuzana Ruzicikova Cembalo Recital,name: Zuzana Ruzicikova | part_or_instrument: Harpsichord,Instrument inferred from 'Cembalo Recital' header
Medium — inference,performer,UDC20260028-23.pdf,4,Musashino Academia Musicae,1977-78,"Soloist: Satoshi Shigematsu, Piano
ピアノ＝重松 聡",name: Satoshi Shigematsu | part_or_instrument: Piano | associated_work: Klavierkonzert Nr.3 c moll Op.37,Associated work inferred as the piano concerto on this program.
Medium — inference,performer,UDC20260028-23.pdf,4,Musashino Academia Musicae,1977-78,"Yukiko Miyamoto, Violin
ヴァイオリン＝宮本由紀子",name: Yukiko Miyamoto | part_or_instrument: Violin | associated_work: Violinekonzert e moll Op.64,Associated work inferred as the violin concerto on this program.
Medium — inference,performer,UDC20260028-23.pdf,4,Musashino Academia Musicae,1977-78,"Soloist: Chieko Yokoyama, Piano
ピアノ＝横山智英子",name: Chieko Yokoyama | part_or_instrument: Piano | associated_work: Klavierkonzert Nr.3 c moll Op.37,Associated work inferred as the piano concerto on this program.
Medium — inference,performer,UDC20260028-23.pdf,4,Musashino Academia Musicae,1977-78,"Soloists: Kyoko Iwasaki, Soprano (6/12)
ソプラノ＝岩崎京子（6日）",name: Kyoko Iwasaki | part_or_instrument: Soprano | associated_work: Sinfonie Nr.9 d moll Op.125,Associated work inferred as soloist in Beethoven 9.
Medium — inference,performer,UDC20260028-23.pdf,4,Musashino Academia Musicae,1977-78,"Keiko Iwanaga, Soprano (7/12)
ソプラノ＝岩永圭子（7日）",name: Keiko Iwanaga | part_or_instrument: Soprano | associated_work: Sinfonie Nr.9 d moll Op.125,Associated work inferred as soloist in Beethoven 9.
Medium — inference,performer,UDC20260028-23.pdf,4,Musashino Academia Musicae,1977-78,"Hiroko Mogaki, Mezzo soprano
メゾ・ソプラノ＝茂垣裕子",name: Hiroko Mogaki | part_or_instrument: Mezzo-soprano | associated_work: Sinfonie Nr.9 d moll Op.125,Associated work inferred as soloist in Beethoven 9.
Medium — inference,performer,UDC20260028-23.pdf,4,Musashino Academia Musicae,1977-78,"Fumio Nakayama, Tenor
テノール＝中山文雄",name: Fumio Nakayama | part_or_instrument: Tenor | associated_work: Sinfonie Nr.9 d moll Op.125,Associated work inferred as soloist in Beethoven 9.
Medium — inference,performer,UDC20260028-23.pdf,4,Musashino Academia Musicae,1977-78,"Eishi Kawamura, Bariton
バリトン＝川村英司",name: Eishi Kawamura | part_or_instrument: Baritone | associated_work: Sinfonie Nr.9 d moll Op.125,Associated work inferred as soloist in Beethoven 9.
Medium — inference,performer,UDC20260028-23.pdf,5,Musashino Academia Musicae,1977-78,"Soloist: Chieko Yokoyama, Piano
ピアノ＝横山智英子",name: Chieko Yokoyama | part_or_instrument: Piano | associated_work: Klavierkonzert Nr.3 Op.37,Associated work inferred as Beethoven Piano Concerto on this program.
Medium — inference,performer,UDC20260028-23.pdf,5,Musashino Academia Musicae,1977-78,"Soloist: Yukiko Miyamoto, Violin
ヴァイオリン＝宮本由紀子",name: Yukiko Miyamoto | part_or_instrument: Violin | associated_work: Violinekonzert e moll Op.64,Associated work inferred as Mendelssohn Violin Concerto on this program.
Medium — inference,performer,UDC20260028-23.pdf,6,Musashino Academia Musicae,1977-78,"Soloist: Satoshi Shigematsu, Piano
ピアノ=重松 聡",name: Satoshi Shigematsu | part_or_instrument: Piano | associated_work: Klavierkonzert Nr.3 c moll Op.37,Associated work inferred as Beethoven Piano Concerto on this program.
Medium — inference,performer,UDC20260028-23.pdf,6,Musashino Academia Musicae,1977-78,"Yukiko Miyamoto, Violin
ヴァイオリン=宮本由紀子",name: Yukiko Miyamoto | part_or_instrument: Violin | associated_work: Violinekonzert e moll Op.64,Associated work inferred as Mendelssohn Violin Concerto on this program.
Medium — inference,performer,UDC20260028-23.pdf,6,Musashino Academia Musicae,1977-78,"Soloist: Chieko Yokoyama, Piano
ピアノ=横山智英子",name: Chieko Yokoyama | part_or_instrument: Piano | associated_work: Klavierkonzert Nr.3 c moll Op.37,Associated work inferred as Beethoven Piano Concerto on this program.
Medium — inference,performer,UDC20260028-23.pdf,6,Musashino Academia Musicae,1977-78,"Soloist: Yukiko Miyamoto, Violin
ヴァイオリン=宮本由紀子",name: Yukiko Miyamoto | part_or_instrument: Violin | associated_work: Violinekonzert e moll Op.64,Associated work inferred as Mendelssohn Violin Concerto on this program.
Medium — inference,performer,UDC20260028-23.pdf,6,Musashino Academia Musicae,1977-78,"Soloist: Chieko Yokoyama, Piano
ピアノ=横山智英子",name: Chieko Yokoyama | part_or_instrument: Piano | associated_work: Klavierkonzert Nr.3 c moll Op.37,Associated work inferred as Beethoven Piano Concerto on this program.
Medium — inference,performer,UDC20260028-23.pdf,7,Musashino Academia Musicae,1977-78,"Soloist: Kathrin Rabus, Violin
Chieko Yokoyama, Piano",name: Kathrin Rabus | part_or_instrument: Violin | associated_work: Violinekonzert e moll Op.64,Associated works inferred: Rabus with Mendelssohn Violin Concerto; Yokoyama with Beethoven Piano Concerto.
