Flag Type,Flag description,What was done,Where found,Where placed
ambiguous event boundary,"A new heading begins at the page marker with ""Concert - No. 277."", ""Melbourne"", ""Liedertafel"", ""Smoke - Concert"", but no further content is visible in this chunk.",Created a separate event from the visible heading information only.,15791-15799,not located
ambiguous event boundary,The opening lines are a continuation of earlier material and do not show a clear event title or full boundary within this chunk.,Created a separate partial concert event with null event-level fields where unavailable and preserved visible credits and text in additional_information.,15726-15790,not located
incomplete information,"The date for the Smoke - Concert is printed as ""Monday, August 18th, 1902."" without an explicit month number in dd/mm/yyyy format.",Stored event_date as null and preserved the original wording in additional_information.,15801-15803,not located
non-musical information,"Administrative and society information, note to gentlemen, and membership/rehearsal notices are included alongside the program.",Preserved this material in additional_information rather than omitting it.,15820-16150,13656
potential misspelling,"The conductor credit appears as ""Pro. Marshall-Hall."" which may be an OCR or typographical issue.",Preserved exactly as printed in credits.,15870-15871,not located
potential misspelling,"The performer surname appears as ""Elwins"" in the programme, while an earlier staff listing shows ""Elvins.""",Preserved both forms exactly as they appear and recorded the programme performer credit as printed.,15883-15885,not located
potential misspelling,"Programme performer credit reads ""Mr. H. S. Elwins."" which may conflict with ""Mr. H. S. Elvins."" elsewhere in the same document.",Preserved exactly as printed and created this flag for manual review.,15961-15966,13632
potential misspelling,"Composer name printed as ""Hadyn.""",Preserved exactly as printed in the credits.,15974-15977,not located
incomplete information,"The song ""What Might Have Been"" has a performer but no composer visible in this chunk.",Left composer credit absent and preserved only the visible information.,15957-15960,not located
ambiguous attribution,"For ""The Desert,"" no composer is visible in the supplied lines, only section titles and performing forces.",Created the performance with visible subtitles and performers only.,15984-15990,not located
incomplete information,The second event at the end of the chunk shows only the cover and artist list; the actual programme contents are not visible.,Created an event with one empty Programme section and preserved all visible front-matter information.,16170-16225,13775
conflicting information,"The event date is given as Friday - 27. December - Anno Domini - 1971. The weekday/date/year combination may be inconsistent, but it must be preserved as printed.",Preserved the date exactly and encoded the complete explicit date as 27/12/1971.,16193-16193,13775
potential misspelling,Performer surname appears as 'Zeiman' here but elsewhere in the chunk a similar name appears as 'Zelman'.,Preserved each spelling as it appears in its respective line.,16319-16319,13806
potential misspelling,Performer surname appears as 'Zelman' here while elsewhere in the chunk a similar name appears as 'Zeiman'.,Preserved each spelling as it appears in its respective line.,16211-16211,13771
potential misspelling,Performer surname appears as 'Zelman' here while elsewhere in the chunk a similar name appears as 'Zeiman'.,Preserved each spelling as it appears in its respective line.,16381-16381,13810
potential misspelling,"Tenor is listed as 'Mr. James Gregor Wood' in the artist list, but later a likely related performer appears as 'Mr. J. Gregor Wood.'",Preserved both forms and recorded the later scoped performer credit as printed.,16209-16209,not located
potential misspelling,Later performance credit gives 'Mr. J. Gregor Wood.' which may correspond to 'Mr. James Gregor Wood' in the artist list.,Preserved both forms as printed.,16385-16385,13811
incomplete information,The final madrigal text and likely subsequent program content are cut off by the chunk boundary.,Captured only the visible portion and noted truncation in additional_information.,16392-16400,not located
incomplete information,"The chunk appears to begin in the middle of lyrics or a prior item, so event boundaries and earlier program context are missing.",Extracted a partial concert event from the visible musical items only and preserved the opening lyric fragment in event additional_information.,16401-16406,12999
OCR error,"The heading ""rias—"" appears truncated or malformed, likely missing initial characters.",Preserved the text exactly and interpreted it as a performance type heading for the listed items.,16408-16408,13805
incomplete information,"Composer/date lines contain only a year in parentheses, with no explicit label indicating whether it is a birth year, death year, or composition date.",Preserved the parenthetical years in performance additional_information without inferring their meaning.,16410-16419,not located
incomplete information,"The chunk contains only a fragment of text/lyrics with no visible event title, performer, composer, venue, date, or surrounding program context.",Created a non-event record and preserved the text verbatim in additional_information and lyrics_transcript.,16432-16438,13987
ambiguous event boundary,The text appears to continue across a page break and may belong to a larger item beginning before or continuing after this chunk.,Extracted only the visible text and noted the page boundary in additional_information.,16432-16438,6591
content filter,The OCR source lines were rejected by the model content filter and therefore could not be structurally transcribed by the language model.,"The original OCR text was preserved verbatim in the additional_information field of a non-event record. No attempt was made to rewrite, correct, summarize, or omit the rejected material.",16439-16446,69683
incomplete information,"The event date is only partially given as ""Thursday, 19th December"" with no year, so a complete date cannot be established.",Recorded event_date as null and preserved the partial date in additional_information.,16451-16452,14015
ambiguous event boundary,"The line preceding the event notice appears to be part of another item, possibly lyrics or text from a different document/event.",Did not treat the preceding line as part of the concert event title or program; preserved it in additional_information for context.,16447-16447,13299
incomplete information,"The chunk describes two auditions with two explicit performance dates/times, but the schema allows only one event_date at event level and the source does not provide a single complete date for the overall event entry.",Set event_date to null and preserved both dated performance instances verbatim in additional_information.,16523-16525,not located
ambiguous attribution,"It is unclear whether the three named direction credits apply as choir directors distinct from the overall conductor, or whether all should be treated under a single conducting role.","Recorded M. H. LANG, M. N. ROCHAT, and M. C. TROYON as directors and M. Hermann LANG separately as conductor, preserving source distinctions.",16507-16520,14042
OCR error,"Possible OCR or typographic anomaly in ensemble name ""CHOŒUR"" with unusual ligature/diacritic rendering.",Preserved the wording exactly as it appears.,16507-16507,14034
ambiguous event boundary,"The chunk appears to be part of a larger program or booklet. The event name, venue, and some contextual details may appear outside the visible lines, and the musical work continues beyond the end of the chunk.",Extracted only the visible event information and marked unavailable fields as null where not explicitly present in this chunk.,16526-16650,14068
incomplete information,The performance listing for the Messe en fa mineur is truncated at the end of the chunk during 'III. Credo.',Captured all visible text for the movement and noted in additional_information that it continues beyond the chunk.,16616-16650,not located
OCR error,"The string 'Aqui- tal. Ch, qui tol- lis pec- ca- ta mun- di,' appears difficult to interpret and may contain OCR corruption.",Preserved the wording exactly in the transcript and flagged it for manual review.,16610-16612,not located
ambiguous event boundary,"The French material on pages 8-18 appears to be part of a larger program note or publication concerning a mass and Anton Bruckner, but the event heading and full document context are not visible in this chunk.",Created a non-event record to preserve all visible information without inventing an event identity.,16586-16828,not located
non-musical information,Biographical essay and critical commentary on Anton Bruckner are included and are not themselves a standalone musical event.,Preserved in a non-event record additional_information and associated section/performance notes.,16768-16828,not located
non-musical information,OCR metadata blocks are present and unrelated to musical event content.,Mentioned in additional_information for the concert context; did not treat metadata blocks as separate events.,16830-16846,not located
conflicting information,"The president's surname appears in two different forms: ""M'EAHARN"" on page 3 and ""McEacharn"" on page 5.",Preserved both forms exactly as printed in separate credits.,16867-16891,not located
incomplete information,"The concert heading gives a complete written date, but the visible program/repertory is not present in this chunk; the event extends beyond the supplied lines.",Created the concert event with available front-matter details and one empty full-performance section.,16848-17075,not located
incomplete information,The choir membership list cuts off after the SECOND TENOR section and likely continues beyond the chunk.,Extracted only the visible names.,17025-17075,not located
incomplete information,"The chunk begins mid-list with orchestral names before the event title appears, so some earlier page content is missing from this chunk.",Preserved visible names and incorporated them into the event credits without inventing missing preceding content.,17001-17024,not located
duplicate information,"GESANG DER PARZEN appears twice in the chunk, once with a shorter lyric extract and again with a longer lyric extract on later pages.",Preserved both occurrences as separate performance entries/duplicate programme text within the same event for manual review.,17171-17177,not located
duplicate information,Programme heading and GESANG DER PARZEN text are repeated on pages 10-11.,Preserved repeated text in Part 2 as it appears and flagged the duplication.,17208-17249,not located
conflicting information,"The 4th (The Clock) Symphony appears once after the note following the GESANG DER PARZEN lyrics and again under Part 2, suggesting inconsistent or duplicate placement within the programme.","Recorded both appearances, one in Part 1 context and one explicitly under Part 2, and flagged for manual review.",17200-17203,not located
conflicting information,"The movement text for the symphony contains unclear differing OCR: ""Irru....."" in one place and ""Pno ...."" in another.",Preserved both OCR forms exactly in their respective performance additional_information fields.,17202-17203,14290
conflicting information,"The movement text for the symphony contains unclear differing OCR: ""Irru....."" in one place and ""Pno ...."" in another.",Preserved both OCR forms exactly in their respective performance additional_information fields.,17255-17256,14304
potential misspelling,"The credit ""Pro. Marshall-Hall"" may be an OCR or typographical issue relative to other occurrences of PROFESSOR MARSHALL-HALL.","Preserved ""Pro. Marshall-Hall."" exactly as printed in the credits.",17406-17407,not located
potential misspelling,"The work subtitle ""(MITRAME)"" may be an OCR issue or unusual spelling.",Preserved the text exactly as printed.,17261-17264,not located
potential misspelling,"The text source title ""FLAUTO MAGICO"" may be a non-English form or OCR issue; manual review may be useful.",Preserved the text exactly as printed.,17166-17169,not located
OCR error,"The lyric line begins ""So 'le empire"" in the repeated text, differing from the earlier occurrence ""So the empire"".",Preserved the OCR wording exactly in the second transcript and flagged the discrepancy.,17222-17224,14323
non-musical information,Several pages contain OCR processing metadata rather than programme content.,Created a separate non-event entry summarizing the metadata pages.,17287-17293,not located
ambiguous event boundary,"The chunk contains material from the end of one programme sequence and then restarts at page 1 of the 276th Concert, indicating document boundary complexity.",Treated the identifiable concert programme beginning at page 1 as the main event and attached preceding/continuing pages that clearly belong to the same programme where possible.,17335-17346,not located
ambiguous event boundary,"The chunk begins mid-document with administrative officers before the title page appears later in the chunk, so the event begins before the visible opening lines of this excerpt.",Treated all visible pages belonging to the same Melbourne Liedertafel concert program as one event and preserved page-order information in additional_information.,17426-17433,not located
duplicate information,OCR metadata pages are included and are not part of the musical program content.,Did not create separate events for these metadata blocks; noted them in event additional_information.,17842-17858,not located
potential misspelling,"Surname appears as 'Statlers' in choir list, which may conflict with 'Statters' elsewhere in the document.",Preserved both forms exactly as printed and listed them separately in credits.,17607-17610,not located
potential misspelling,"Name appears as 'Tnohy, W. E.' and may be an OCR or printing issue.",Preserved exactly as printed.,17563-17565,14379
potential misspelling,"Name appears as 'Whitchead, F. S.' and may be an OCR or printing issue.",Preserved exactly as printed.,17571-17574,14381
potential misspelling,"Name appears as 'Hamity, F.' and may be an OCR or printing issue.",Preserved exactly as printed.,17587-17590,14381
potential misspelling,"Text reads 'prætonum' in the Latin chorus, which may be erroneous.",Preserved exactly as printed in lyrics_transcript.,17811-17814,14448
potential misspelling,Text reads 'Ist for thy mother's soul' which may be an OCR or printing error for another word.,Preserved exactly as printed in lyrics_transcript.,17754-17757,14448
non-musical information,"Administrative notices, membership information, acknowledgments, and printer information are included in the program but are not performance content.",Preserved in event additional_information rather than creating a separate non-event because they are part of the same program document.,17831-17840,not located
ambiguous event boundary,"The chunk begins with ""=== Page 12 ==="" and then restarts at ""=== Page 1 ===,"" indicating possible document boundary ambiguity or OCR pagination irregularity.","Treated the visible Melbourne Liedertafel material beginning at ""=== Page 1 ==="" as a new document/event and preserved page information in the extraction.",17851-17860,not located
OCR error,"The credit ""PRO. MARSHALL-HALL."" may reflect OCR loss of a letter or abbreviation irregularity.",Preserved exactly as printed in the credits list.,17930-17931,not located
potential misspelling,"The surname/name form ""Krawkowski"" may be misspelled or OCR-distorted.",Preserved exactly as printed in the orchestra list.,17966-17966,14481
potential misspelling,"The instrument heading ""Tympan"" appears unusual and may be incomplete or misspelled.",Preserved exactly as printed as an orchestra role heading.,18037-18038,not located
potential misspelling,"The choir member name ""Wooes, C."" may be misspelled or OCR-distorted.",Preserved exactly as printed in the choir list.,18071-18071,14494
potential misspelling,"The composer credit ""Albt"" appears incomplete or misspelled.","Preserved exactly as printed and included as composer credit for ""Evening.""",18192-18195,not located
potential misspelling,"The composer credit ""Schafer"" may be a misspelling or OCR distortion.","Preserved exactly as printed and included as composer credit for ""Die Post.""",18196-18199,not located
incomplete information,"For the Part Songs item ""O Sanctissima,"" no composer is visible in the supplied chunk, while the paired item ""Warrior's Prayer"" includes a composer.","Left composer unspecified for ""O Sanctissima"" and preserved the visible text only.",18277-18283,not located
OCR error,"The program note text contains unusual forms such as ""Shakespere"" and ""Midsummer Night Dream,"" which may reflect OCR or source spelling issues.",Preserved the note exactly and flagged for manual review.,18345-18346,14594
potential misspelling,"The phrase ""drowsy little hamsters of the woodland"" in the program note appears factually or textually suspicious.",Preserved exactly as printed and flagged for manual review.,18345-18345,14594
incomplete information,"The chunk ends during Part II, so the full remainder of the program may continue beyond the supplied text.",Extracted only the visible Part II items and did not infer any continuation.,18348-18350,14510
ambiguous event boundary,"The material on Pages 9-14 appears to be a continuation of an event that began before this chunk; event title, date, and venue are not visible here.",Created a separate concert event for Pages 9-14 with null event-identifying fields and noted continuation status in additional_information.,18276-18480,not located
ambiguous attribution,"For ""O Sanctissima"" and the following Latin text, the relationship between the heading, the title, and ""The LIEDERTAFEL."" is not fully explicit due to layout.","Preserved the heading and created separate performance entries reflecting the visible structure, noting the ambiguity in additional_information.",18277-18288,not located
potential misspelling,"""Shakespere's"" may be a misspelling or OCR issue.",Preserved the wording exactly and flagged for review.,18345-18345,14594
potential misspelling,"""Abenlied"" may be a misspelling or OCR issue.",Preserved exactly as printed and flagged for review.,18397-18397,not located
potential misspelling,"""Weigenlied"" may be a misspelling or OCR issue.",Preserved exactly as printed and flagged for review.,18399-18399,not located
OCR error,"The choral word ""STLLAH!"" appears unusual and may reflect OCR corruption.",Preserved exactly as printed in lyrics_transcript and flagged for review.,18452-18452,14746
non-musical information,Pages 15 and 16 contain OCR/process metadata rather than event content.,Created a separate non-event entry containing the metadata in additional_information.,18482-18498,not located
potential misspelling,"""Madlle."" on Page 6 differs from ""Mdlle."" elsewhere and may be a variant or OCR issue.",Preserved exactly as printed and included the name in credits.,18719-18723,14779
OCR error,"The aria title appears as ""Ah fors e lui,"" which may contain OCR corruption or spacing error.",Preserved exactly as printed and flagged for review.,18520-18520,not located
incomplete information,"The text of ""The Viking's Last Voyage"" is cut off at the end of the chunk.",Transcribed only the visible portion and noted that the text continues beyond the visible chunk.,18742-18775,not located
ambiguous attribution,"For several grouped items in the 1902 programme, the layout suggests shared performers/composers across bracketed sub-items, but the exact scope depends on formatting.",Represented each visible sub-item as its own performance and repeated shared details in additional_information where appropriate.,18512-18549,not located
ambiguous event boundary,"The beginning of the 212TH CONCERT programme is not visible in this chunk. Pages 6-18 contain programme and memoranda, while the first visible dated cover for this event appears later at lines 019122-019129. It is unclear whether lines 018701-018716 belong to the same document or a previous page.",Extracted pages 6-18 as one concert event and preserved the earlier list of names/years in event additional_information rather than attributing them as definite credits.,18701-18716,not located
incomplete information,"Complete date for the 212TH CONCERT is only visible on a later cover page in the chunk, while the programme itself begins earlier. The relationship is likely but the document flow is unusual.","Used the explicit complete date and venue visible on lines 019122-019129 for the 212TH CONCERT event, and preserved ambiguity in event additional_information.",19122-19129,15152
potential misspelling,"The aria title appears as ""Ah fors e lui"", which may reflect OCR distortion or source spelling.",Preserved the wording exactly as OCRed.,18854-18856,15025
potential misspelling,"The text contains ""Pcebus"" in the chorus text, which may be an OCR or spelling issue.",Preserved the wording exactly as OCRed in lyrics_transcript.,18993-18993,15051
non-musical information,"Page 18 contains subscription terms, ticket information, address, and printer details rather than programme content.",Preserved this material in event additional_information for the associated concert.,19081-19110,7613
formatting error,Page metadata appears in the OCR stream and is not part of the source musical document.,Ignored metadata as event content.,19113-19119,5726
ambiguous event boundary,"A second document begins at lines 019121-019145 with 1902 cover material, but page 3 then switches to a 178th Concert dated Monday Evening, 20th April, 1896. The relationship between these pages is unclear.",Created a separate event for the 178th Concert and preserved the page 1-2 material and ambiguity in additional_information.,19121-19158,not located
OCR error,"The OCR for the VOCAL QUARTETS entry contains an extremely long run of dot leaders/filler, obscuring information after ""The Goslings"".",Preserved the recoverable text only and flagged the loss of content.,19144-19145,not located
incomplete information,The 178th Concert has a complete date in written form but not in the required dd/mm/yyyy explicit numeric form without inference of month/day formatting from text conversion rules.,Set event_date to null to avoid format conversion from prose date.,19156-19157,15152
incomplete information,The 212TH CONCERT entry is only partially visible and appears truncated after the Vocal Quartets listing.,Created a separate event using only the visible programme items and noted truncation in additional_information.,19127-19145,not located
OCR error,"Line for Vocal Quartets item (b) in 212TH CONCERT contains an extremely long run of dot leaders/filler, suggesting OCR corruption or layout capture failure.",Preserved the visible title and flagged the corrupted line.,19144-19145,not located
duplicate information,The 178th Concert title/date/location are repeated on Page 16 after the Memoranda page.,Treated Page 16 as repeated material belonging to the same event and recorded the repetition in additional_information rather than creating a duplicate event.,19602-19610,15262
conflicting information,"Hon. Pianist appears with two different OCR forms: 'MR. G. B. FENTUM' and 'Mr. G. B. Kentum,'.",Preserved both forms in credits and flagged for manual review.,19175-19321,not located
potential misspelling,"Possible OCR/name discrepancy between 'MR. H. ROFFE' in committee list and 'MR. HENRY ROFE.' in baritone solo credit, and 'H. Rope' in members list.",Preserved each form exactly as printed and flagged possible inconsistency.,19187-19400,not located
incomplete information,"The Musical Society of Victoria entry begins at Page 1 but no event date, venue, location, or programme contents are visible in this chunk.",Created a separate event with available front-matter only and nulls for unavailable fields.,19610-19625,not located
incomplete information,"The opening lyrics and related event begin before this chunk; event title, date, venue, and credits are not visible here.",Created a separate concert event with null event metadata and preserved the visible lyrics and memoranda in additional_information.,19551-19601,not located
non-musical information,"Subscription, ticketing, and society administrative details are included on page 15 and are not themselves performances.",Preserved them in the event additional_information for the surrounding concert document.,19577-19601,not located
incomplete information,"For the item ""Valse Caprice,"" the composer is not clearly visible; the line appears to run directly into the performer credit.",Recorded the performance title and noted the issue in additional_information without inventing a composer.,19644-19645,not located
formatting error,Machine-readable page metadata appears in the OCR stream and is not part of the musical program content.,Ignored the metadata as event content.,19663-19670,not located
ambiguous event boundary,"A new document begins with ""METROPOLITAN LIEDERTAFEL"" after page metadata, but the first pages shown are fragmentary and the programme proper starts later at page 7 with only PART II visible.",Treated the Metropolitan Liedertafel material as a separate event and noted that only part of the programme is present in this chunk.,19672-19868,not located
conflicting information,"The Metropolitan Liedertafel material gives different patron names on different pages: one page says ""Under the patronage of Sir Wm. C. F. Robinson, Lt., G.C.M.G. Administrator of the Government,"" while another page lists ""PATRON HIS EXCELLENCY SIR HENRY BROUGHAM LOCH, K.C.B"".",Preserved both patron/patronage credits exactly as printed and flagged the conflict for review.,19687-19715,15599
incomplete information,"The date for the Metropolitan Liedertafel concert is written out as ""Monday Evening, Twenty-Fifth March, 1889"" rather than given numerically; strict conversion to dd/mm/yyyy may require interpretation.",Left event_date as null and preserved the written date in additional_information.,19697-19700,15599
potential misspelling,"Some member names in the Metropolitan Liedertafel lists may contain OCR or spelling issues, such as ""G. Whigley,"" ""J. O. Cautwright,"" ""W. M. Uirk,"" ""W. Urik,"" and ""W. Goodr.""",Preserved all names exactly as printed in the credits list.,19797-19852,not located
incomplete information,"The Metropolitan Liedertafel programme in this chunk ends mid-item with ""Die Allmacht"" and likely continues beyond the chunk boundary.",Recorded the visible portion only and noted continuation in the performance additional_information.,20046-20050,not located
ambiguous event boundary,"The opening lyrics on lines 19976-20001 clearly continue a performance that began before this chunk, but the performance title and credits are not visible here.",Created a performance with null title inside the first visible concert event and preserved the lyrics in full.,19976-20001,15651
incomplete information,"The first concert event in this chunk lacks visible event name, date, venue, and location because only interior pages are shown.",Recorded the visible program details only and left unavailable event-level fields as null.,20003-20103,1599
non-musical information,Subscription terms appear within the concert booklet and are not themselves a musical event.,Preserved the text in event additional_information rather than creating separate performances.,20091-20102,15697
non-musical information,Advertisement for ALFRED NOTT is unrelated to a musical event.,Created a separate non-event record containing the advertisement text.,20131-20154,15903
non-musical information,Advertisement for BOSISTO'S PARROT BRAND Eucalyptus Oil is unrelated to a musical event.,Created a separate non-event record containing the advertisement text.,20218-20230,15835
non-musical information,Advertisement for DEAN'S EQUITABLE PLACE is unrelated to a musical event.,Created a separate non-event record containing the advertisement text.,20367-20379,15939
non-musical information,OCR/processing metadata block is unrelated to a musical event.,Created a separate non-event record containing the metadata.,20104-20110,5726
ambiguous event boundary,"The lines for EXHIBITION BUILDING, MELBOURNE, MONDAY EVENING, 25TH MARCH, 1889., SIXTEENTH SEASON, FOURTH CONCERT. appear to begin a separate document, but the program content is not visible before the next document begins.",Created a separate event with only the visible cover information.,20112-20120,15788
ambiguous attribution,The parenthetical credit '(Itala De Medici)' after 'Miss ELSIE DAVIES' has unclear function from the visible text alone.,Preserved it as an additional role credit tied to the aria and also noted it in the performance additional_information.,20462-20465,not located
potential misspelling,"The text reads 'Hungarian Rhapsodie No. 4'; spelling may require review, but must be preserved as printed/OCRed.",Preserved the wording exactly and flagged for manual review.,20004-20006,15657
potential misspelling,"The lyrics read 'star-vising choirs', which may be suspect OCR or unusual wording.",Preserved the wording exactly in the lyrics and flagged for review.,20426-20428,15852
potential misspelling,"The lyrics read 'nothing the lost repose', which appears unusual and may reflect OCR error or source wording.",Preserved the wording exactly in the lyrics and flagged for review.,20419-20420,15852
potential misspelling,"The lyrics read 'With Corycian nymphs attending,'; manual review may be useful because OCR could affect uncommon proper terms.",Preserved the wording exactly and flagged for review.,20403-20403,15852
ambiguous event boundary,"The musical program clearly begins before this chunk. The opening text on lines 20401-20435 is a continuation of a prior item, and the full event heading/title/date are not visible here.",Extracted the visible program material as a single concert event and preserved the opening text as an untitled performance fragment in additional section content.,20401-20435,15852
non-musical information,Several pages in the chunk are advertisements or other non-program material interleaved with the musical program.,Created a separate non-event entry summarizing the visible non-musical material.,20497-20900,16132
potential misspelling,"The text ""Fra Nightingale sings sweet"" may contain an OCR or spelling issue, but it is preserved as printed/OCRed.",Transcribed exactly as shown.,20447-20460,15866
OCR error,"The phrase ""star-vising choirs"" appears unusual and may reflect OCR error.",Preserved the wording exactly and flagged for review.,20426-20435,15852
OCR error,"The phrase ""nothing the lost repose"" appears grammatically irregular and may reflect OCR error.",Preserved the wording exactly and flagged for review.,20417-20424,15852
OCR error,"The phrase ""Chasing the X they love"" appears suspect.",Transcribed exactly as shown and flagged for review.,20534-20542,16032
OCR error,"The phrase ""Our lines unwavering head"" appears suspect.",Transcribed exactly as shown and flagged for review.,20635-20643,16039
OCR error,"The word ""unhobed"" appears suspect.",Transcribed exactly as shown and flagged for review.,20687-20695,16053
OCR error,"The line ""Say, why should sadness more us,"" appears suspect.",Preserved exactly as shown and flagged for review.,20765-20777,16060
OCR error,"The line ""Behold! the soft beams play, lore."" appears suspect.",Preserved exactly as shown and flagged for review.,20769-20772,16060
conflicting information,"The parenthetical identification following Miss ELSIE DAVIES appears in two different forms: ""Itala De Medici"" and later ""Italia De Medici"".",Recorded both forms in credits and in the relevant performance additional_information.,20464-20781,not located
incomplete information,"The notice for the next concerts gives only partial dates without a year, and one date includes ""(approximately)"".",Preserved the notice in event additional_information and did not create normalized event dates.,20610-20614,15980
ambiguous event boundary,"The opening lyrics and programme items appear to belong to an event already in progress before this chunk begins, so full event details are not visible.",Created a separate concert event containing only the visible items and noted that the event begins before this chunk.,20827-20862,16088
non-musical information,Page 15 is an advertisement unrelated to a musical event.,Captured it as a non-event with text preserved in additional_information.,20864-20894,not located
non-musical information,Page 16 is an advertisement unrelated to a musical event.,Captured it as a non-event with text preserved in additional_information.,20895-20926,16132
incomplete information,"The date is printed as ""Tuesday, March 25th, 1902."" but the schema requires dd/mm/yyyy and the month is not numeric in source form.",Set event_date to null and preserved the printed date in additional_information.,20933-20934,not located
OCR error,The OCR metadata block on page 2 is not programme content.,Preserved note of its presence in additional_information and excluded it from performances.,20936-20943,not located
potential misspelling,"Several names and titles may contain OCR or spelling issues, including ""Eduard Greig"", ""Humphrev"", ""Jochinsen"", ""Haybittel"", ""Statlers"", ""Waish"", and others.",Preserved all spellings exactly as printed/OCR and included them in credits.,20946-21237,not located
conflicting information,"Page 3 credits ""Hon. Conductor: PROF. MARSHALL-HALL"" while the programme page states ""Under the Baton of Mr. August Siede.""",Recorded both credits with their distinct roles and noted the issue for review.,20993-21242,not located
incomplete information,"The soloist for ""Landerkennung"" appears as ""Mr. E. A. Tre."" which may be truncated or incomplete.",Preserved the visible form exactly and flagged it.,21246-21248,not located
duplicate information,"""Landerkennung"" appears first in the original programme listing and again in the re-arranged programme order.",Represented it once as the Part I performance and noted the rearrangement in section/additional information.,21244-21286,not located
duplicate information,"""Air—Hear ye Israel Mendelssohn"" appears in the re-arranged programme and then again at the end of the chunk.",Represented it once in Part II and noted the repeated appearance.,21292-21325,not located
OCR error,A second OCR metadata block appears on page 8 and is not programme content.,Excluded it from programme structure and noted its presence in additional_information.,21305-21312,not located
ambiguous event boundary,The opening lines of the chunk are lyric text continuing from an earlier page or event not fully present in this chunk.,Did not create a separate event because no clear event header or boundary is visible in the excerpt; preserved only within flag.,21251-21323,8547
duplicate information,Some Melbourne Liedertafel Concert items appear both in the reordered programme on page 7 and again with expanded notes/lyrics on pages 9-12.,Merged them into a single event and captured expanded information in the relevant performances.,21282-21466,16279
potential misspelling,"Composer name appears as ""Eduard Greig"".",Preserved exactly as printed in credits and performance entry.,21285-21285,not located
potential misspelling,"Work/source title appears as ""(Aris and Galatea)"".",Preserved exactly as printed in additional_information for the performance.,21329-21330,not located
potential misspelling,"Title/source appears inconsistently as ""(Mittrane)"" and later ""Mitrané"".",Preserved both forms where they appear and noted the discrepancy through this flag.,21375-21466,not located
duplicate information,"The song cycle titles in the Royal College of Music concert appear on page 1 and again on page 2, with slight capitalization/punctuation differences.",Merged into one performance entry and preserved variant form in additional_information.,21515-21542,not located
non-musical information,Technical OCR metadata pages are present in the chunk.,"Ignored as separate events because they are processing metadata, not source-program content.",21306-21312,not located
non-musical information,Technical OCR metadata pages are present in the chunk.,"Ignored as separate events because they are processing metadata, not source-program content.",21469-21475,not located
non-musical information,Technical OCR metadata pages are present in the chunk.,"Ignored as separate events because they are processing metadata, not source-program content.",21478-21484,not located
incomplete information,"Several announced Royal College of Music dates and opera performances lack complete year/day-month formatting in the exact required schema, or are schedule listings rather than full event programs.",Created a non-event schedule entry and did not infer complete dates for each listed item.,21614-21648,not located
ambiguous event boundary,"The 1889 Metropolitan Liedertafel material begins with interior pages (Page 4 onward), and later cover pages for what appears to be the same date and venue appear at Page 16/Page 1-2 under a different title, making document boundaries uncertain.",Separated the detailed 1889 programme as one event and the later 1889 cover/programme headed THE ROYAL METROPOLITAN LIEDERKAPEL as a second event for manual review.,21676-22138,15599
duplicate information,"The 1889 date, venue, season, and concert number appear both in the earlier pages and again in the later cover/programme pages, suggesting possible duplicate or parallel programme material.",Retained both visible instances as separate events because the titles/programmes differ in the chunk and identity cannot be safely merged without inference.,21676-22138,15599
potential misspelling,"The title THE ROYAL METROPOLITAN LIEDERKAPEL may be unusual or may reflect OCR issues, but must be preserved as printed/OCRed.",Preserved the wording exactly as it appears.,22096-22097,not located
potential misspelling,"The work title ""Edipus"" may be misspelled or may reflect OCR distortion.",Preserved the title exactly as it appears.,22103-22104,not located
conflicting information,"The patriotic closing item differs between the two 1889 programmes: one ends with GOD SAVE THE QUEEN, the other with GOD SAVE THE KING.",Preserved both wordings in their respective events and flagged for review.,22059-22138,not located
non-musical information,"Subscription terms, ticket prices, and admissions information are included and are not programme items.",Preserved them in event additional_information rather than omitting them.,22064-22076,15697
non-musical information,Technical metadata appears in the OCR chunk and is unrelated to a musical event.,Did not create a separate non-event because the metadata is embedded between event materials; flagged it for manual review.,22077-22084,not located
incomplete information,The 1901 event continues beyond the visible chunk; only cover and partial officer listing are present.,Created an event with a single empty full-performance section and noted truncation in additional_information.,22140-22175,not located
potential misspelling,"Several personal names may reflect OCR or print irregularities, such as MS. J. S. RIDLEY, MS. THOS. J. CONNOR, A. L. Prydr, C. E. Tiber, F. Foolman, H. Roff/H. ROFE.",Preserved all names exactly as they appear and noted likely issues here for manual review.,21707-21823,not located
ambiguous event boundary,The opening programme on lines 022102-022138 appears to belong to an event whose identifying header is not visible in this chunk.,Created a separate concert event with null identifying fields and transcribed the visible programme only.,22102-22138,not located
potential misspelling,"The work title appears as ""Edipus"" in the opening programme, while later in the chunk a similar title appears as ""Oedipus at Colonos"".","Preserved ""Edipus"" exactly as printed in the first programme entry.",22103-22103,not located
conflicting information,"The string player surname appears differently in two places: ""Herr L. Hattenbach"" in the programme listings and ""Herr L. Hallenbach"" in the assisting artists list.",Preserved both forms exactly where they appear and included a flag for manual review.,22115-22308,not located
duplicate information,The programme for the 206th Concert appears in both abbreviated list form at the beginning of the chunk and in fuller form with lyrics on later pages.,Separated the unidentified opening programme from the identified 206th Concert and preserved both occurrences.,22102-22599,not located
